ontology,class,algorithm,selection_type,auroc,auprc,time_sec
BP,GO:0019693,naive_bayes,PCA,0.7407,0.0109,9.076
BP,GO:0019725,naive_bayes,PCA,0.6906,0.0088,8.942
BP,GO:0019752,naive_bayes,PCA,0.8752,0.0312,8.799
BP,GO:0019915,naive_bayes,PCA,0.6343,0.0058,9.147
BP,GO:0019932,naive_bayes,PCA,0.8273,0.0487,8.93
BP,GO:0019941,naive_bayes,PCA,0.8504,0.0704,9.686
BP,GO:0021700,naive_bayes,PCA,0.8433,0.1336,8.81
BP,GO:0022402,naive_bayes,PCA,0.8465,0.0858,9.137
BP,GO:0022404,naive_bayes,PCA,0.8992,0.0119,9.537
BP,GO:0022411,naive_bayes,PCA,0.7666,0.0367,8.7
BP,GO:0022412,naive_bayes,PCA,0.8319,0.0351,9.055
BP,GO:0022414,naive_bayes,PCA,0.7434,0.0891,9.18
BP,GO:0022603,naive_bayes,PCA,0.7633,0.0272,9.658
BP,GO:0022604,naive_bayes,PCA,0.7971,0.0232,8.763
BP,GO:0022607,naive_bayes,PCA,0.7566,0.0298,8.96
BP,GO:0022610,naive_bayes,PCA,0.5501,0.0023,9.665
BP,GO:0022611,naive_bayes,PCA,0.6778,0.0053,9.433
BP,GO:0022618,naive_bayes,PCA,0.7824,0.0095,8.763
BP,GO:0022898,naive_bayes,PCA,0.6557,0.0055,9.095
BP,GO:0023014,naive_bayes,PCA,0.9838,0.0669,9.579
